grid,agent,sensor_mode,use_sensors,sigma,n_seeds,final_eval_total_runs,source_experiment_numbers,best_eval_mean_reward_mean,best_eval_mean_reward_variance,best_eval_success_rate_mean,best_eval_success_rate_variance,episodes_mean,episodes_variance,final_eval_mean_reward_mean,final_eval_mean_reward_variance,final_eval_mean_steps_mean,final_eval_mean_steps_variance,final_eval_runs_mean,final_eval_runs_variance,final_eval_std_reward_mean,final_eval_std_reward_variance,final_eval_success_rate_mean,final_eval_success_rate_variance,final_train_length_mean,final_train_length_variance,final_train_reward_mean,final_train_reward_variance,global_step_mean,global_step_variance,last_eval_mean_reward_mean,last_eval_mean_reward_variance,last_eval_success_rate_mean,last_eval_success_rate_variance,training_total_collisions_mean,training_total_collisions_variance
big_spaces_cave,ddqn,no_sensor,False,0.0,5,5,2,-0.5,0.0,0.0,0.0,6000.0,0.0,-0.5,0.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,-0.7088,0.19534770000000004,2999902.0,48020.0,-0.5,0.0,0.0,0.0,80581.0,23189658.0
big_spaces_cave,ddqn,sensor,True,0.0,5,5,1,0.9350000000000002,1.5407439555097887e-32,1.0,0.0,6000.0,0.0,0.9350000000000002,1.5407439555097887e-32,66.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,72.0,6.0,0.9272,8.700000000000015e-06,699421.6,1500911151.8,0.9342,7.000000000000012e-07,1.0,0.0,17252.0,1358851.0
big_spaces_cave,ddqn,sensor,True,0.5,5,50,3,0.9360799999999999,1.5470000000000235e-06,1.0,0.0,6000.0,0.0,0.92634,2.4929999999999395e-06,73.94,3.3029999999999826,10.0,0.0,0.00922668,4.172548773549999e-06,1.0,0.0,92.0,336.5,0.909,0.0003365000000000006,718866.0,948671237.0,0.9260200000000001,0.00020690200000000089,1.0,0.0,13778.6,1117177.3
big_spaces_cave,dqn,no_sensor,False,0.0,5,5,2,-0.5,0.0,0.0,0.0,6000.0,0.0,-0.5,0.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,-0.5953999999999999,0.016872299999999996,2999964.0,6480.0,-0.5,0.0,0.0,0.0,77488.2,33977667.2
big_spaces_cave,dqn,sensor,True,0.0,5,5,1,0.9348000000000001,2.0000000000000036e-07,1.0,0.0,6000.0,0.0,0.9348000000000001,2.0000000000000036e-07,66.2,0.2,1.0,0.0,0.0,0.0,1.0,0.0,70.6,7.3,0.9304,7.300000000000013e-06,769090.8,477773505.20000005,0.9342,7.000000000000012e-07,1.0,0.0,18448.6,1755484.8
big_spaces_cave,dqn,sensor,True,0.5,5,50,3,0.9355,1.4249999999999472e-06,1.0,0.0,6000.0,0.0,0.9271800000000001,2.8120000000000956e-06,72.92,2.812000000000006,10.0,0.0,0.007103670000000001,1.0448366024500002e-06,1.0,0.0,77.6,34.3,0.9234,3.430000000000006e-05,768642.0,2880104797.5,0.8871600000000001,0.004365667999999997,0.9800000000000001,0.001999999999999999,15033.0,5194640.0
realistic_super_hard_cave,ddqn,no_sensor,False,0.0,5,5,2,-0.5,0.0,0.0,0.0,6000.0,0.0,-0.5,0.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,-0.5269999999999999,0.0006884999999999992,3000000.0,0.0,-0.5,0.0,0.0,0.0,118309.2,20723703.2
realistic_super_hard_cave,ddqn,sensor,True,0.0,5,5,1,0.9072000000000001,7.000000000000012e-07,1.0,0.0,6000.0,0.0,0.9072000000000001,7.000000000000012e-07,93.8,0.7,1.0,0.0,0.0,0.0,1.0,0.0,102.0,17.5,0.899,1.7500000000000032e-05,1958314.0,114212210780.0,0.9048,3.2000000000000058e-06,1.0,0.0,57549.4,64132471.3
realistic_super_hard_cave,ddqn,sensor,True,0.5,5,50,3,0.90342,2.4070000000000237e-06,1.0,0.0,6000.0,0.0,0.8491799999999999,0.003368472000000001,126.58,406.63700000000017,10.0,0.0,0.129378368,0.02870183338754512,0.9800000000000001,0.001999999999999999,131.2,652.7,0.8644000000000001,0.0006158000000000011,2007098.0,17668553120.0,0.81118,0.03716147200000001,0.9800000000000001,0.001999999999999999,42024.6,10755822.3
realistic_super_hard_cave,dqn,no_sensor,False,0.0,5,5,2,-0.5,0.0,0.0,0.0,6000.0,0.0,-0.5,0.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,-1.0868,0.7337952,3000000.0,0.0,-0.5,0.0,0.0,0.0,145864.2,791546978.2
realistic_super_hard_cave,dqn,sensor,True,0.0,5,5,1,0.6248,0.39537170000000005,0.8,0.2,6000.0,0.0,0.6248,0.39537170000000005,176.0,32809.5,1.0,0.0,0.0,0.0,0.8,0.2,262.0,47206.0,0.3386,0.5860443000000001,2223520.0,420549051250.0,0.34340000000000004,0.5927718000000001,0.6,0.30000000000000004,67246.6,233598848.29999998
