setup_group,condition,algorithm,grid,seed,start_pos,sigma,gamma,alpha,alpha_min,alpha_decay,lr_schedule,visit_count_c,epsilon,epsilon_min,epsilon_decay,fixed_epsilon,ql_episodes,mc_episodes,max_episode_length,success_rate,mean_discounted_return,mean_undiscounted_return,mean_episode_length,mean_success_episode_length,policy_difference_from_optimal,training_time_s
discount_factor,gamma=0.6,value_iteration,A1_grid,0,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,0.077
discount_factor,gamma=0.6,mc,A1_grid,0,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,17.976
discount_factor,gamma=0.6,q_learning,A1_grid,0,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,1.637
discount_factor,gamma=0.6,value_iteration,A1_grid,1,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,0.075
discount_factor,gamma=0.6,mc,A1_grid,1,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,17.048
discount_factor,gamma=0.6,q_learning,A1_grid,1,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,1.721
discount_factor,gamma=0.6,value_iteration,A1_grid,2,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,0.076
discount_factor,gamma=0.6,mc,A1_grid,2,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,18.75
discount_factor,gamma=0.6,q_learning,A1_grid,2,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,1.549
discount_factor,gamma=0.6,value_iteration,A1_grid,3,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,0.076
discount_factor,gamma=0.6,mc,A1_grid,3,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,19.926
discount_factor,gamma=0.6,q_learning,A1_grid,3,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,1.539
discount_factor,gamma=0.6,value_iteration,A1_grid,4,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,0.079
discount_factor,gamma=0.6,mc,A1_grid,4,"1,12",0,0.6,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-2.499987,-17.0,28.0,28.0,0.0,16.505
