setup_group,condition,algorithm,grid,seed,start_pos,sigma,gamma,alpha,alpha_min,alpha_decay,lr_schedule,visit_count_c,epsilon,epsilon_min,epsilon_decay,fixed_epsilon,ql_episodes,mc_episodes,max_episode_length,success_rate,mean_discounted_return,mean_undiscounted_return,mean_episode_length,mean_success_episode_length,policy_difference_from_optimal,training_time_s
learning_rate,low_fixed_alpha,value_iteration,A1_grid,0,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.142301,-17.0,28.0,28.0,0.0,0.078
learning_rate,low_fixed_alpha,mc,A1_grid,0,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-25.669805,-29.0,40.0,40.0,0.145299,26.64
learning_rate,low_fixed_alpha,q_learning,A1_grid,0,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.142301,-17.0,28.0,28.0,0.0,2.234
learning_rate,low_fixed_alpha,value_iteration,A1_grid,1,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.142301,-17.0,28.0,28.0,0.0,0.076
learning_rate,low_fixed_alpha,mc,A1_grid,1,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-22.620754,-25.0,36.0,36.0,0.196581,38.387
learning_rate,low_fixed_alpha,q_learning,A1_grid,1,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.142301,-17.0,28.0,28.0,0.0,3.246
learning_rate,low_fixed_alpha,value_iteration,A1_grid,2,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.142301,-17.0,28.0,28.0,0.0,0.076
learning_rate,low_fixed_alpha,mc,A1_grid,2,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-25.669805,-29.0,40.0,40.0,0.153846,45.226
learning_rate,low_fixed_alpha,q_learning,A1_grid,2,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.142301,-17.0,28.0,28.0,0.0,2.785
learning_rate,low_fixed_alpha,value_iteration,A1_grid,3,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.142301,-17.0,28.0,28.0,0.0,0.076
learning_rate,low_fixed_alpha,mc,A1_grid,3,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-19.446629,-21.0,32.0,32.0,0.290598,55.302
learning_rate,low_fixed_alpha,q_learning,A1_grid,3,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.142301,-17.0,28.0,28.0,0.0,2.906
learning_rate,low_fixed_alpha,value_iteration,A1_grid,4,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.142301,-17.0,28.0,28.0,0.0,0.085
learning_rate,low_fixed_alpha,mc,A1_grid,4,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-17.81107,-19.0,30.0,30.0,0.247863,55.854
learning_rate,low_fixed_alpha,q_learning,A1_grid,4,"1,12",0,0.99,0.1,0.01,0.9995,constant,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.142301,-17.0,28.0,28.0,0.0,3.261
