setup_group,condition,algorithm,grid,seed,start_pos,sigma,gamma,alpha,alpha_min,alpha_decay,lr_schedule,visit_count_c,epsilon,epsilon_min,epsilon_decay,fixed_epsilon,ql_episodes,mc_episodes,max_episode_length,success_rate,mean_discounted_return,mean_undiscounted_return,mean_episode_length,mean_success_episode_length,policy_difference_from_optimal,training_time_s
mc_episode_length,max_episode_length=500,value_iteration,A1_grid,0,"1,12",0,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,500,1.0,-16.142301,-17.0,28.0,28.0,0.0,0.08
mc_episode_length,max_episode_length=500,mc,A1_grid,0,"1,12",0,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,500,1.0,-16.142301,-17.0,28.0,28.0,0.008547,13.831
mc_episode_length,max_episode_length=500,q_learning,A1_grid,0,"1,12",0,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,500,1.0,-16.142301,-17.0,28.0,28.0,0.0,2.931
mc_episode_length,max_episode_length=500,value_iteration,A1_grid,1,"1,12",0,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,500,1.0,-16.142301,-17.0,28.0,28.0,0.0,0.076
mc_episode_length,max_episode_length=500,mc,A1_grid,1,"1,12",0,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,500,1.0,-16.142301,-17.0,28.0,28.0,0.008547,14.605
mc_episode_length,max_episode_length=500,q_learning,A1_grid,1,"1,12",0,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,500,1.0,-16.142301,-17.0,28.0,28.0,0.0,3.174
mc_episode_length,max_episode_length=500,value_iteration,A1_grid,2,"1,12",0,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,500,1.0,-16.142301,-17.0,28.0,28.0,0.0,0.076
mc_episode_length,max_episode_length=500,mc,A1_grid,2,"1,12",0,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,500,1.0,-16.142301,-17.0,28.0,28.0,0.008547,16.529
mc_episode_length,max_episode_length=500,q_learning,A1_grid,2,"1,12",0,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,500,1.0,-16.142301,-17.0,28.0,28.0,0.0,2.974
mc_episode_length,max_episode_length=500,value_iteration,A1_grid,3,"1,12",0,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,500,1.0,-16.142301,-17.0,28.0,28.0,0.0,0.076
