group,condition,algorithm,grid,seed,success_rate,mean_undiscounted_return,mean_episode_length,policy_difference_from_optimal,train_stop,stopped_early,training_time_s
default,default,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.074
default,default,mc,A1_grid,0,1.0,-17.0,28.0,0.0,31647,True,16.534
default,default,q_learning,A1_grid,0,1.0,-17.0,28.0,0.0,4613,True,2.754
default,default,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.074
default,default,mc,A1_grid,1,1.0,-17.0,28.0,0.008547,28503,True,14.958
default,default,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,5502,True,3.342
default,default,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.076
default,default,mc,A1_grid,2,1.0,-19.0,30.0,0.008547,28989,True,15.177
default,default,q_learning,A1_grid,2,1.0,-17.0,28.0,0.0,5541,True,3.382
default,default,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.076
default,default,mc,A1_grid,3,1.0,-17.0,28.0,0.0,31198,True,16.253
default,default,q_learning,A1_grid,3,1.0,-17.0,28.0,0.0,4204,True,2.628
default,default,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.077
default,default,mc,A1_grid,4,1.0,-17.0,28.0,0.017094,32030,True,16.715
default,default,q_learning,A1_grid,4,1.0,-17.0,28.0,0.0,5057,True,3.126
grid_comparison,A1_grid,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.078
grid_comparison,A1_grid,mc,A1_grid,0,1.0,-17.0,28.0,0.0,31647,True,16.507
grid_comparison,A1_grid,q_learning,A1_grid,0,1.0,-17.0,28.0,0.0,4613,True,2.891
grid_comparison,A1_grid,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.077
grid_comparison,A1_grid,mc,A1_grid,1,1.0,-17.0,28.0,0.008547,28503,True,14.984
grid_comparison,A1_grid,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,5502,True,3.366
grid_comparison,A1_grid,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.078
