setup_group,condition,algorithm,grid,seed,start_pos,sigma,gamma,alpha,alpha_min,alpha_decay,lr_schedule,visit_count_c,epsilon,epsilon_min,epsilon_decay,fixed_epsilon,ql_episodes,mc_episodes,max_episode_length,success_rate,mean_discounted_return,mean_undiscounted_return,mean_episode_length,mean_success_episode_length,policy_difference_from_optimal,training_time_s
stochasticity,sigma=0.02,value_iteration,A1_grid,0,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.676644,-17.64,28.64,28.64,0.0,0.106
stochasticity,sigma=0.02,mc,A1_grid,0,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.693248,-17.66,28.66,28.66,0.08547,17.178
stochasticity,sigma=0.02,q_learning,A1_grid,0,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.659873,-17.62,28.62,28.62,0.08547,26.173
stochasticity,sigma=0.02,value_iteration,A1_grid,1,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.676644,-17.64,28.64,28.64,0.0,0.107
stochasticity,sigma=0.02,mc,A1_grid,1,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.725959,-17.7,28.7,28.7,0.094017,13.654
stochasticity,sigma=0.02,q_learning,A1_grid,1,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.758671,-17.74,28.74,28.74,0.08547,26.965
stochasticity,sigma=0.02,value_iteration,A1_grid,2,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.643269,-17.6,28.6,28.6,0.0,0.104
stochasticity,sigma=0.02,mc,A1_grid,2,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.659376,-17.62,28.62,28.62,0.136752,16.935
stochasticity,sigma=0.02,q_learning,A1_grid,2,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.759001,-17.74,28.74,28.74,0.059829,23.225
stochasticity,sigma=0.02,value_iteration,A1_grid,3,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.660041,-17.62,28.62,28.62,0.0,0.107
